      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.877e-05  1.150e-08  1.518e-08  4.809e-10  5.190e-16 
 1.000e-11  1.009e-04  4.511e-07  1.756e-05  4.253e-08  3.632e-13 
 2.000e-11  1.078e-04  1.507e-06  6.267e-05  8.576e-08  2.647e-12 
 3.000e-11  1.194e-04  3.271e-06  1.352e-04  1.193e-07  7.644e-12 
 4.000e-11  1.352e-04  6.119e-06  2.346e-04  1.438e-07  1.398e-11 
 5.000e-11  1.542e-04  1.053e-05  3.603e-04  2.069e-07  2.032e-11 
 6.000e-11  1.746e-04  1.636e-05  5.118e-04  3.241e-07  2.694e-11 
 7.000e-11  1.947e-04  2.320e-05  6.887e-04  4.559e-07  3.715e-11 
 8.000e-11  2.132e-04  3.079e-05  8.909e-04  5.708e-07  5.450e-11 
 9.000e-11  2.291e-04  3.903e-05  1.118e-03  6.419e-07  7.562e-11 
 1.000e-10  2.416e-04  4.785e-05  1.371e-03  6.795e-07  9.933e-11 
 1.100e-10  2.499e-04  5.723e-05  1.649e-03  6.892e-07  1.239e-10 
 1.200e-10  2.531e-04  6.715e-05  1.953e-03  6.820e-07  1.490e-10 
 1.300e-10  2.504e-04  7.763e-05  2.283e-03  6.656e-07  1.728e-10 
 1.400e-10  2.410e-04  8.867e-05  2.640e-03  6.476e-07  1.909e-10 
 1.500e-10  2.238e-04  1.003e-04  3.025e-03  6.314e-07  1.975e-10 
 1.600e-10  1.986e-04  1.125e-04  3.439e-03  6.192e-07  1.881e-10 
 1.700e-10  1.653e-04  1.253e-04  3.884e-03  6.116e-07  1.643e-10 
 1.800e-10  1.250e-04  1.387e-04  4.360e-03  6.083e-07  1.373e-10 
 1.900e-10  8.039e-05  1.528e-04  4.871e-03  6.082e-07  1.249e-10 
 2.000e-10  4.023e-05  1.677e-04  5.418e-03  6.080e-07  1.368e-10 
 2.100e-10  4.541e-05  1.834e-04  6.004e-03  6.036e-07  1.820e-10 
 2.200e-10  8.716e-05  2.002e-04  6.632e-03  6.126e-07  2.409e-10 
 2.300e-10  1.302e-04  2.179e-04  7.303e-03  6.227e-07  3.037e-10 
 2.400e-10  1.675e-04  2.364e-04  8.021e-03  6.413e-07  3.732e-10 
 2.500e-10  1.968e-04  2.557e-04  8.789e-03  6.707e-07  4.329e-10 
 2.600e-10  2.175e-04  2.755e-04  9.608e-03  7.092e-07  4.696e-10 
 2.700e-10  2.303e-04  2.958e-04  1.048e-02  7.517e-07  4.823e-10 
 2.800e-10  2.366e-04  3.164e-04  1.141e-02  7.928e-07  4.783e-10 
 2.900e-10  2.380e-04  3.372e-04  1.240e-02  8.284e-07  4.662e-10 
 3.000e-10  2.362e-04  3.581e-04  1.345e-02  8.566e-07  4.521e-10 
 3.100e-10  2.325e-04  3.790e-04  1.455e-02  8.772e-07  4.392e-10 
 3.200e-10  2.280e-04  3.997e-04  1.571e-02  8.915e-07  4.284e-10 
 3.300e-10  2.237e-04  4.202e-04  1.693e-02  9.012e-07  4.197e-10 
 3.400e-10  2.201e-04  4.404e-04  1.820e-02  9.076e-07  4.124e-10 
 3.500e-10  2.177e-04  4.603e-04  1.953e-02  9.114e-07  4.057e-10 
 3.600e-10  2.167e-04  4.796e-04  2.092e-02  9.133e-07  3.992e-10 
 3.700e-10  2.173e-04  4.985e-04  2.235e-02  9.138e-07  3.928e-10 
 3.800e-10  2.194e-04  5.168e-04  2.384e-02  9.136e-07  3.867e-10 
 3.900e-10  2.229e-04  5.346e-04  2.538e-02  9.134e-07  3.817e-10 
 4.000e-10  2.275e-04  5.517e-04  2.697e-02  9.143e-07  3.784e-10 
 4.100e-10  2.329e-04  5.657e-04  2.860e-02  9.149e-07  2.555e-09 
 4.200e-10  2.387e-04  5.692e-04  3.024e-02  9.128e-07  1.230e-09 
 4.300e-10  2.449e-04  5.703e-04  3.188e-02  9.126e-07  5.107e-10 
 4.400e-10  2.515e-04  5.710e-04  3.353e-02  9.123e-07  3.873e-10 
 4.500e-10  2.584e-04  5.717e-04  3.517e-02  9.121e-07  3.885e-10 
 4.600e-10  2.657e-04  5.724e-04  3.682e-02  9.119e-07  3.896e-10 
 4.700e-10  2.732e-04  5.730e-04  3.846e-02  9.116e-07  3.907e-10 
 4.800e-10  2.810e-04  5.737e-04  4.011e-02  9.113e-07  3.918e-10 
 4.900e-10  2.890e-04  5.744e-04  4.175e-02  9.110e-07  3.929e-10 
 5.000e-10  2.972e-04  5.751e-04  4.340e-02  9.107e-07  3.939e-10 
                                                            
