      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.869e-05  1.149e-08  1.517e-08  4.784e-10  5.196e-16 
 1.000e-11  1.008e-04  2.713e-07  1.756e-05  4.583e-08  2.295e-13 
 2.000e-11  1.074e-04  8.638e-07  6.268e-05  9.235e-08  1.665e-12 
 3.000e-11  1.185e-04  2.032e-06  1.352e-04  1.290e-07  5.238e-12 
 4.000e-11  1.337e-04  4.397e-06  2.346e-04  1.528e-07  1.084e-11 
 5.000e-11  1.518e-04  8.487e-06  3.603e-04  2.039e-07  1.684e-11 
 6.000e-11  1.713e-04  1.403e-05  5.119e-04  3.050e-07  2.293e-11 
 7.000e-11  1.903e-04  2.057e-05  6.889e-04  4.236e-07  3.246e-11 
 8.000e-11  2.078e-04  2.785e-05  8.913e-04  5.291e-07  4.875e-11 
 9.000e-11  2.227e-04  3.576e-05  1.119e-03  5.944e-07  6.881e-11 
 1.000e-10  2.343e-04  4.425e-05  1.372e-03  6.287e-07  9.149e-11 
 1.100e-10  2.417e-04  5.329e-05  1.650e-03  6.370e-07  1.150e-10 
 1.200e-10  2.442e-04  6.287e-05  1.954e-03  6.296e-07  1.389e-10 
 1.300e-10  2.411e-04  7.299e-05  2.285e-03  6.136e-07  1.613e-10 
 1.400e-10  2.313e-04  8.366e-05  2.643e-03  5.961e-07  1.778e-10 
 1.500e-10  2.142e-04  9.488e-05  3.028e-03  5.802e-07  1.828e-10 
 1.600e-10  1.893e-04  1.067e-04  3.443e-03  5.680e-07  1.709e-10 
 1.700e-10  1.567e-04  1.190e-04  3.888e-03  5.603e-07  1.425e-10 
 1.800e-10  1.175e-04  1.318e-04  4.366e-03  5.568e-07  1.054e-10 
 1.900e-10  7.422e-05  1.453e-04  4.877e-03  5.565e-07  7.662e-11 
 2.000e-10  3.646e-05  1.593e-04  5.425e-03  5.569e-07  7.615e-11 
 2.100e-10  4.596e-05  1.742e-04  6.012e-03  5.541e-07  1.108e-10 
 2.200e-10  8.726e-05  1.898e-04  6.640e-03  5.587e-07  1.624e-10 
 2.300e-10  1.286e-04  2.062e-04  7.312e-03  5.661e-07  2.222e-10 
 2.400e-10  1.640e-04  2.234e-04  8.031e-03  5.826e-07  2.868e-10 
 2.500e-10  1.915e-04  2.413e-04  8.800e-03  6.098e-07  3.384e-10 
 2.600e-10  2.105e-04  2.596e-04  9.621e-03  6.456e-07  3.644e-10 
 2.700e-10  2.219e-04  2.784e-04  1.050e-02  6.850e-07  3.655e-10 
 2.800e-10  2.271e-04  2.975e-04  1.143e-02  7.229e-07  3.496e-10 
 2.900e-10  2.275e-04  3.167e-04  1.242e-02  7.554e-07  3.265e-10 
 3.000e-10  2.248e-04  3.360e-04  1.346e-02  7.806e-07  3.031e-10 
 3.100e-10  2.203e-04  3.553e-04  1.457e-02  7.988e-07  2.833e-10 
 3.200e-10  2.152e-04  3.745e-04  1.573e-02  8.113e-07  2.680e-10 
 3.300e-10  2.102e-04  3.934e-04  1.695e-02  8.197e-07  2.564e-10 
 3.400e-10  2.059e-04  4.121e-04  1.822e-02  8.252e-07  2.475e-10 
 3.500e-10  2.028e-04  4.304e-04  1.955e-02  8.285e-07  2.400e-10 
 3.600e-10  2.011e-04  4.484e-04  2.094e-02  8.302e-07  2.333e-10 
 3.700e-10  2.009e-04  4.658e-04  2.238e-02  8.308e-07  2.270e-10 
 3.800e-10  2.022e-04  4.828e-04  2.386e-02  8.309e-07  2.213e-10 
 3.900e-10  2.048e-04  4.992e-04  2.540e-02  8.313e-07  2.166e-10 
 4.000e-10  2.086e-04  5.150e-04  2.699e-02  8.329e-07  2.137e-10 
 4.100e-10  2.132e-04  5.285e-04  2.862e-02  8.339e-07  2.197e-09 
 4.200e-10  2.182e-04  5.319e-04  3.027e-02  8.322e-07  1.172e-09 
 4.300e-10  2.236e-04  5.328e-04  3.191e-02  8.321e-07  4.800e-10 
 4.400e-10  2.294e-04  5.332e-04  3.355e-02  8.320e-07  3.563e-10 
 4.500e-10  2.356e-04  5.337e-04  3.520e-02  8.320e-07  3.566e-10 
 4.600e-10  2.421e-04  5.341e-04  3.684e-02  8.319e-07  3.570e-10 
 4.700e-10  2.490e-04  5.345e-04  3.849e-02  8.319e-07  3.573e-10 
 4.800e-10  2.561e-04  5.349e-04  4.013e-02  8.318e-07  3.577e-10 
 4.900e-10  2.635e-04  5.353e-04  4.178e-02  8.318e-07  3.580e-10 
 5.000e-10  2.711e-04  5.358e-04  4.342e-02  8.317e-07  3.584e-10 
                                                            
