      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.877e-05  1.149e-08  1.517e-08  4.818e-10  5.200e-16 
 1.000e-11  1.008e-04  2.544e-07  1.756e-05  4.668e-08  2.405e-13 
 2.000e-11  1.073e-04  8.269e-07  6.268e-05  9.404e-08  1.834e-12 
 3.000e-11  1.183e-04  1.985e-06  1.352e-04  1.313e-07  5.628e-12 
 4.000e-11  1.334e-04  4.345e-06  2.346e-04  1.551e-07  1.125e-11 
 5.000e-11  1.514e-04  8.425e-06  3.603e-04  2.040e-07  1.723e-11 
 6.000e-11  1.707e-04  1.396e-05  5.119e-04  3.021e-07  2.325e-11 
 7.000e-11  1.896e-04  2.047e-05  6.890e-04  4.182e-07  3.256e-11 
 8.000e-11  2.069e-04  2.772e-05  8.913e-04  5.218e-07  4.855e-11 
 9.000e-11  2.217e-04  3.560e-05  1.119e-03  5.860e-07  6.836e-11 
 1.000e-10  2.330e-04  4.407e-05  1.372e-03  6.195e-07  9.087e-11 
 1.100e-10  2.403e-04  5.308e-05  1.650e-03  6.275e-07  1.142e-10 
 1.200e-10  2.428e-04  6.263e-05  1.955e-03  6.201e-07  1.380e-10 
 1.300e-10  2.395e-04  7.273e-05  2.285e-03  6.041e-07  1.602e-10 
 1.400e-10  2.297e-04  8.337e-05  2.643e-03  5.866e-07  1.766e-10 
 1.500e-10  2.126e-04  9.456e-05  3.029e-03  5.707e-07  1.813e-10 
 1.600e-10  1.877e-04  1.063e-04  3.443e-03  5.585e-07  1.692e-10 
 1.700e-10  1.552e-04  1.186e-04  3.889e-03  5.507e-07  1.404e-10 
 1.800e-10  1.161e-04  1.314e-04  4.366e-03  5.472e-07  1.022e-10 
 1.900e-10  7.310e-05  1.448e-04  4.878e-03  5.467e-07  7.093e-11 
 2.000e-10  3.574e-05  1.588e-04  5.426e-03  5.472e-07  6.700e-11 
 2.100e-10  4.608e-05  1.735e-04  6.013e-03  5.469e-07  8.997e-11 
 2.200e-10  8.739e-05  1.890e-04  6.641e-03  5.488e-07  1.319e-10 
 2.300e-10  1.285e-04  2.052e-04  7.314e-03  5.554e-07  1.912e-10 
 2.400e-10  1.636e-04  2.222e-04  8.033e-03  5.714e-07  2.552e-10 
 2.500e-10  1.908e-04  2.399e-04  8.802e-03  5.981e-07  3.051e-10 
 2.600e-10  2.096e-04  2.580e-04  9.623e-03  6.334e-07  3.287e-10 
 2.700e-10  2.208e-04  2.766e-04  1.050e-02  6.722e-07  3.268e-10 
 2.800e-10  2.257e-04  2.954e-04  1.143e-02  7.094e-07  3.078e-10 
 2.900e-10  2.259e-04  3.144e-04  1.242e-02  7.413e-07  2.816e-10 
 3.000e-10  2.230e-04  3.335e-04  1.346e-02  7.660e-07  2.556e-10 
 3.100e-10  2.184e-04  3.526e-04  1.457e-02  7.837e-07  2.337e-10 
 3.200e-10  2.131e-04  3.715e-04  1.573e-02  7.959e-07  2.169e-10 
 3.300e-10  2.080e-04  3.903e-04  1.695e-02  8.040e-07  2.044e-10 
 3.400e-10  2.036e-04  4.088e-04  1.822e-02  8.093e-07  1.948e-10 
 3.500e-10  2.003e-04  4.269e-04  1.956e-02  8.124e-07  1.869e-10 
 3.600e-10  1.984e-04  4.446e-04  2.094e-02  8.140e-07  1.796e-10 
 3.700e-10  1.980e-04  4.618e-04  2.238e-02  8.146e-07  1.724e-10 
 3.800e-10  1.991e-04  4.786e-04  2.387e-02  8.147e-07  1.653e-10 
 3.900e-10  2.016e-04  4.948e-04  2.541e-02  8.151e-07  1.589e-10 
 4.000e-10  2.052e-04  5.105e-04  2.699e-02  8.168e-07  1.538e-10 
 4.100e-10  2.095e-04  5.239e-04  2.863e-02  8.179e-07  2.178e-09 
 4.200e-10  2.143e-04  5.272e-04  3.027e-02  8.162e-07  1.144e-09 
 4.300e-10  2.195e-04  5.280e-04  3.191e-02  8.161e-07  4.278e-10 
 4.400e-10  2.252e-04  5.283e-04  3.356e-02  8.161e-07  3.143e-10 
 4.500e-10  2.312e-04  5.287e-04  3.520e-02  8.161e-07  3.144e-10 
 4.600e-10  2.375e-04  5.290e-04  3.685e-02  8.161e-07  3.145e-10 
 4.700e-10  2.442e-04  5.294e-04  3.849e-02  8.161e-07  3.146e-10 
 4.800e-10  2.511e-04  5.297e-04  4.014e-02  8.160e-07  3.147e-10 
 4.900e-10  2.583e-04  5.300e-04  4.178e-02  8.160e-07  3.148e-10 
 5.000e-10  2.658e-04  5.304e-04  4.343e-02  8.160e-07  3.149e-10 
                                                            
