      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  7.407e-05  1.150e-08  1.517e-08  1.936e-10  5.188e-16 
 1.000e-11  7.525e-05  1.857e-07  1.753e-05  1.352e-08  4.206e-14 
 2.000e-11  7.907e-05  3.915e-07  6.260e-05  2.920e-08  1.901e-13 
 3.000e-11  8.556e-05  6.609e-07  1.351e-04  4.819e-08  5.053e-13 
 4.000e-11  9.485e-05  1.029e-06  2.349e-04  6.666e-08  1.073e-12 
 5.000e-11  1.069e-04  1.602e-06  3.616e-04  7.409e-08  1.694e-12 
 6.000e-11  1.210e-04  2.653e-06  5.149e-04  7.160e-08  1.962e-12 
 7.000e-11  1.363e-04  4.386e-06  6.943e-04  8.710e-08  2.048e-12 
 8.000e-11  1.516e-04  6.841e-06  8.995e-04  1.267e-07  3.652e-12 
 9.000e-11  1.657e-04  9.964e-06  1.130e-03  1.627e-07  6.894e-12 
 1.000e-10  1.777e-04  1.368e-05  1.387e-03  1.894e-07  1.136e-11 
 1.100e-10  1.866e-04  1.793e-05  1.669e-03  2.013e-07  1.647e-11 
 1.200e-10  1.917e-04  2.268e-05  1.978e-03  2.031e-07  2.205e-11 
 1.300e-10  1.921e-04  2.794e-05  2.313e-03  1.982e-07  2.763e-11 
 1.400e-10  1.870e-04  3.371e-05  2.676e-03  1.920e-07  3.249e-11 
 1.500e-10  1.757e-04  3.997e-05  3.067e-03  1.871e-07  3.543e-11 
 1.600e-10  1.577e-04  4.670e-05  3.487e-03  1.838e-07  3.514e-11 
 1.700e-10  1.330e-04  5.384e-05  3.938e-03  1.817e-07  3.098e-11 
 1.800e-10  1.021e-04  6.133e-05  4.422e-03  1.803e-07  2.351e-11 
 1.900e-10  6.634e-05  6.914e-05  4.940e-03  1.797e-07  1.473e-11 
 2.000e-10  2.844e-05  7.726e-05  5.494e-03  1.796e-07  7.932e-12 
 2.100e-10  2.020e-05  8.572e-05  6.088e-03  1.795e-07  7.417e-12 
 2.200e-10  5.707e-05  9.455e-05  6.723e-03  1.802e-07  1.163e-11 
 2.300e-10  9.319e-05  1.037e-04  7.403e-03  1.831e-07  2.006e-11 
 2.400e-10  1.245e-04  1.133e-04  8.130e-03  1.907e-07  3.112e-11 
 2.500e-10  1.496e-04  1.230e-04  8.907e-03  2.040e-07  4.123e-11 
 2.600e-10  1.681e-04  1.329e-04  9.736e-03  2.217e-07  4.737e-11 
 2.700e-10  1.805e-04  1.428e-04  1.062e-02  2.414e-07  4.880e-11 
 2.800e-10  1.878e-04  1.527e-04  1.156e-02  2.610e-07  4.633e-11 
 2.900e-10  1.912e-04  1.625e-04  1.256e-02  2.793e-07  4.156e-11 
 3.000e-10  1.919e-04  1.723e-04  1.361e-02  2.956e-07  3.593e-11 
 3.100e-10  1.909e-04  1.819e-04  1.472e-02  3.097e-07  3.049e-11 
 3.200e-10  1.892e-04  1.914e-04  1.589e-02  3.215e-07  2.583e-11 
 3.300e-10  1.873e-04  2.008e-04  1.712e-02  3.312e-07  2.212e-11 
 3.400e-10  1.857e-04  2.099e-04  1.840e-02  3.390e-07  1.931e-11 
 3.500e-10  1.848e-04  2.189e-04  1.974e-02  3.449e-07  1.729e-11 
 3.600e-10  1.848e-04  2.277e-04  2.114e-02  3.492e-07  1.592e-11 
 3.700e-10  1.858e-04  2.362e-04  2.258e-02  3.517e-07  1.508e-11 
 3.800e-10  1.877e-04  2.444e-04  2.408e-02  3.525e-07  1.475e-11 
 3.900e-10  1.906e-04  2.524e-04  2.562e-02  3.517e-07  1.509e-11 
 4.000e-10  1.940e-04  2.601e-04  2.722e-02  3.496e-07  1.648e-11 
 4.100e-10  1.978e-04  2.658e-04  2.885e-02  3.467e-07  4.267e-10 
 4.200e-10  2.017e-04  2.662e-04  3.050e-02  3.463e-07  1.844e-10 
 4.300e-10  2.057e-04  2.662e-04  3.214e-02  3.463e-07  1.696e-10 
 4.400e-10  2.098e-04  2.663e-04  3.379e-02  3.463e-07  1.697e-10 
 4.500e-10  2.139e-04  2.664e-04  3.543e-02  3.463e-07  1.697e-10 
 4.600e-10  2.182e-04  2.665e-04  3.708e-02  3.463e-07  1.697e-10 
 4.700e-10  2.225e-04  2.666e-04  3.872e-02  3.463e-07  1.697e-10 
 4.800e-10  2.269e-04  2.667e-04  4.037e-02  3.463e-07  1.697e-10 
 4.900e-10  2.313e-04  2.668e-04  4.201e-02  3.463e-07  1.697e-10 
 5.000e-10  2.358e-04  2.669e-04  4.366e-02  3.463e-07  1.698e-10 
                                                            
