      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.877e-05  3.317e-08  4.425e-08  4.798e-10  5.712e-16 
 1.000e-11  1.008e-04  2.655e-07  2.490e-05  4.674e-08  1.822e-13 
 2.000e-11  1.072e-04  8.247e-07  7.734e-05  9.330e-08  1.452e-12 
 3.000e-11  1.181e-04  1.967e-06  1.571e-04  1.289e-07  4.664e-12 
 4.000e-11  1.328e-04  4.249e-06  2.638e-04  1.494e-07  9.313e-12 
 5.000e-11  1.503e-04  8.148e-06  3.967e-04  1.891e-07  1.412e-11 
 6.000e-11  1.689e-04  1.341e-05  5.555e-04  2.706e-07  1.912e-11 
 7.000e-11  1.870e-04  1.960e-05  7.397e-04  3.751e-07  2.838e-11 
 8.000e-11  2.034e-04  2.651e-05  9.493e-04  4.659e-07  4.315e-11 
 9.000e-11  2.172e-04  3.403e-05  1.184e-03  5.201e-07  6.107e-11 
 1.000e-10  2.277e-04  4.211e-05  1.444e-03  5.480e-07  8.116e-11 
 1.100e-10  2.339e-04  5.073e-05  1.730e-03  5.526e-07  1.021e-10 
 1.200e-10  2.352e-04  5.988e-05  2.042e-03  5.444e-07  1.230e-10 
 1.300e-10  2.307e-04  6.957e-05  2.381e-03  5.294e-07  1.418e-10 
 1.400e-10  2.197e-04  7.981e-05  2.747e-03  5.137e-07  1.545e-10 
 1.500e-10  2.013e-04  9.059e-05  3.141e-03  4.999e-07  1.557e-10 
 1.600e-10  1.752e-04  1.019e-04  3.564e-03  4.896e-07  1.416e-10 
 1.700e-10  1.419e-04  1.137e-04  4.019e-03  4.832e-07  1.136e-10 
 1.800e-10  1.025e-04  1.261e-04  4.506e-03  4.805e-07  7.961e-11 
 1.900e-10  6.002e-05  1.390e-04  5.029e-03  4.803e-07  5.532e-11 
 2.000e-10  2.893e-05  1.525e-04  5.588e-03  4.806e-07  5.651e-11 
 2.100e-10  5.262e-05  1.666e-04  6.186e-03  4.807e-07  7.868e-11 
 2.200e-10  9.440e-05  1.815e-04  6.827e-03  4.828e-07  1.178e-10 
 2.300e-10  1.335e-04  1.971e-04  7.513e-03  4.907e-07  1.708e-10 
 2.400e-10  1.661e-04  2.134e-04  8.246e-03  5.082e-07  2.238e-10 
 2.500e-10  1.907e-04  2.302e-04  9.030e-03  5.355e-07  2.610e-10 
 2.600e-10  2.072e-04  2.474e-04  9.866e-03  5.699e-07  2.753e-10 
 2.700e-10  2.167e-04  2.650e-04  1.076e-02  6.063e-07  2.688e-10 
 2.800e-10  2.204e-04  2.828e-04  1.171e-02  6.405e-07  2.495e-10 
 2.900e-10  2.200e-04  3.007e-04  1.271e-02  6.693e-07  2.258e-10 
 3.000e-10  2.169e-04  3.187e-04  1.377e-02  6.916e-07  2.035e-10 
 3.100e-10  2.124e-04  3.366e-04  1.489e-02  7.075e-07  1.851e-10 
 3.200e-10  2.074e-04  3.543e-04  1.607e-02  7.184e-07  1.711e-10 
 3.300e-10  2.026e-04  3.718e-04  1.731e-02  7.257e-07  1.608e-10 
 3.400e-10  1.987e-04  3.891e-04  1.860e-02  7.306e-07  1.529e-10 
 3.500e-10  1.958e-04  4.060e-04  1.995e-02  7.336e-07  1.463e-10 
 3.600e-10  1.944e-04  4.225e-04  2.135e-02  7.352e-07  1.401e-10 
 3.700e-10  1.943e-04  4.386e-04  2.280e-02  7.359e-07  1.341e-10 
 3.800e-10  1.956e-04  4.541e-04  2.430e-02  7.360e-07  1.283e-10 
 3.900e-10  1.981e-04  4.692e-04  2.586e-02  7.363e-07  1.231e-10 
 4.000e-10  2.016e-04  4.838e-04  2.746e-02  7.377e-07  1.191e-10 
 4.100e-10  2.057e-04  4.937e-04  2.909e-02  7.367e-07  1.789e-09 
 4.200e-10  2.102e-04  4.954e-04  3.074e-02  7.357e-07  7.519e-10 
 4.300e-10  2.150e-04  4.959e-04  3.238e-02  7.357e-07  3.506e-10 
 4.400e-10  2.201e-04  4.962e-04  3.403e-02  7.357e-07  3.438e-10 
 4.500e-10  2.256e-04  4.965e-04  3.567e-02  7.357e-07  3.439e-10 
 4.600e-10  2.314e-04  4.968e-04  3.732e-02  7.357e-07  3.440e-10 
 4.700e-10  2.375e-04  4.970e-04  3.896e-02  7.357e-07  3.441e-10 
 4.800e-10  2.438e-04  4.973e-04  4.061e-02  7.357e-07  3.442e-10 
 4.900e-10  2.503e-04  4.976e-04  4.225e-02  7.356e-07  3.443e-10 
 5.000e-10  2.571e-04  4.979e-04  4.390e-02  7.356e-07  3.444e-10 
 5.100e-10  2.641e-04  4.982e-04  4.554e-02  7.356e-07  3.444e-10 
 5.200e-10  2.712e-04  4.985e-04  4.719e-02  7.356e-07  3.445e-10 
 5.300e-10  2.785e-04  4.988e-04  4.883e-02  7.356e-07  3.446e-10 
 5.400e-10  2.860e-04  4.991e-04  5.048e-02  7.356e-07  3.447e-10 
 5.500e-10  2.936e-04  4.994e-04  5.212e-02  7.356e-07  3.448e-10 
 5.600e-10  3.014e-04  4.996e-04  5.377e-02  7.356e-07  3.449e-10 
 5.700e-10  3.093e-04  4.999e-04  5.541e-02  7.356e-07  3.450e-10 
 5.800e-10  3.173e-04  5.002e-04  5.706e-02  7.356e-07  3.451e-10 
 5.900e-10  3.254e-04  5.005e-04  5.870e-02  7.356e-07  3.451e-10 
 6.000e-10  3.336e-04  5.008e-04  6.035e-02  7.356e-07  3.452e-10 
 6.100e-10  3.419e-04  5.011e-04  6.199e-02  7.356e-07  3.453e-10 
 6.200e-10  3.503e-04  5.014e-04  6.363e-02  7.356e-07  3.454e-10 
 6.300e-10  3.587e-04  5.017e-04  6.528e-02  7.356e-07  3.455e-10 
 6.400e-10  3.673e-04  5.020e-04  6.692e-02  7.356e-07  3.456e-10 
 6.500e-10  3.759e-04  5.023e-04  6.857e-02  7.356e-07  3.457e-10 
 6.600e-10  3.845e-04  5.027e-04  7.021e-02  7.356e-07  3.458e-10 
 6.700e-10  3.933e-04  5.030e-04  7.186e-02  7.355e-07  3.459e-10 
 6.800e-10  4.020e-04  5.033e-04  7.350e-02  7.355e-07  3.460e-10 
 6.900e-10  4.109e-04  5.036e-04  7.515e-02  7.355e-07  3.460e-10 
 7.000e-10  4.197e-04  5.039e-04  7.679e-02  7.355e-07  3.461e-10 
 7.100e-10  4.287e-04  5.042e-04  7.844e-02  7.355e-07  3.462e-10 
 7.200e-10  4.377e-04  5.045e-04  8.008e-02  7.355e-07  3.463e-10 
 7.300e-10  4.467e-04  5.048e-04  8.173e-02  7.355e-07  3.464e-10 
 7.400e-10  4.557e-04  5.051e-04  8.337e-02  7.355e-07  3.465e-10 
 7.500e-10  4.648e-04  5.054e-04  8.502e-02  7.355e-07  3.466e-10 
 7.600e-10  4.739e-04  5.058e-04  8.666e-02  7.355e-07  3.467e-10 
 7.700e-10  4.831e-04  5.061e-04  8.831e-02  7.355e-07  3.468e-10 
 7.800e-10  4.923e-04  5.064e-04  8.995e-02  7.355e-07  3.469e-10 
 7.900e-10  5.015e-04  5.067e-04  9.160e-02  7.355e-07  3.470e-10 
 8.000e-10  5.107e-04  5.070e-04  9.324e-02  7.355e-07  3.471e-10 
 8.100e-10  5.200e-04  5.074e-04  9.489e-02  7.355e-07  3.472e-10 
 8.200e-10  5.293e-04  5.077e-04  9.653e-02  7.354e-07  3.472e-10 
 8.300e-10  5.386e-04  5.080e-04  9.818e-02  7.354e-07  3.473e-10 
 8.400e-10  5.479e-04  5.083e-04  9.982e-02  7.354e-07  3.474e-10 
 8.500e-10  5.573e-04  5.087e-04  1.015e-01  7.354e-07  3.475e-10 
 8.600e-10  5.666e-04  5.090e-04  1.031e-01  7.354e-07  3.476e-10 
 8.700e-10  5.760e-04  5.093e-04  1.048e-01  7.354e-07  3.477e-10 
 8.800e-10  5.854e-04  5.096e-04  1.064e-01  7.354e-07  3.478e-10 
 8.900e-10  5.949e-04  5.100e-04  1.080e-01  7.354e-07  3.479e-10 
 9.000e-10  6.043e-04  5.103e-04  1.097e-01  7.354e-07  3.480e-10 
 9.100e-10  6.138e-04  5.106e-04  1.113e-01  7.354e-07  3.481e-10 
 9.200e-10  6.232e-04  5.110e-04  1.130e-01  7.354e-07  3.482e-10 
 9.300e-10  6.327e-04  5.113e-04  1.146e-01  7.354e-07  3.483e-10 
 9.400e-10  6.422e-04  5.116e-04  1.163e-01  7.354e-07  3.484e-10 
 9.500e-10  6.517e-04  5.120e-04  1.179e-01  7.353e-07  3.485e-10 
 9.600e-10  6.613e-04  5.123e-04  1.196e-01  7.353e-07  3.486e-10 
 9.700e-10  6.708e-04  5.126e-04  1.212e-01  7.353e-07  3.486e-10 
 9.800e-10  6.804e-04  5.130e-04  1.228e-01  7.353e-07  3.487e-10 
 9.900e-10  6.899e-04  5.133e-04  1.245e-01  7.353e-07  3.488e-10 
 1.000e-09  6.995e-04  5.136e-04  1.261e-01  7.353e-07  3.489e-10 
                                                            
