      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.877e-05  1.150e-08  1.518e-08  4.798e-10  5.190e-16 
 1.000e-11  1.008e-04  2.529e-07  1.756e-05  4.710e-08  2.329e-13 
 2.000e-11  1.073e-04  8.316e-07  6.268e-05  9.486e-08  1.821e-12 
 3.000e-11  1.183e-04  2.002e-06  1.352e-04  1.324e-07  5.733e-12 
 4.000e-11  1.333e-04  4.365e-06  2.346e-04  1.560e-07  1.142e-11 
 5.000e-11  1.513e-04  8.440e-06  3.603e-04  2.041e-07  1.747e-11 
 6.000e-11  1.706e-04  1.397e-05  5.119e-04  3.012e-07  2.369e-11 
 7.000e-11  1.895e-04  2.048e-05  6.890e-04  4.167e-07  3.324e-11 
 8.000e-11  2.067e-04  2.773e-05  8.913e-04  5.199e-07  4.937e-11 
 9.000e-11  2.214e-04  3.561e-05  1.119e-03  5.839e-07  6.923e-11 
 1.000e-10  2.328e-04  4.407e-05  1.372e-03  6.173e-07  9.173e-11 
 1.100e-10  2.401e-04  5.308e-05  1.650e-03  6.252e-07  1.150e-10 
 1.200e-10  2.425e-04  6.263e-05  1.955e-03  6.178e-07  1.388e-10 
 1.300e-10  2.392e-04  7.272e-05  2.285e-03  6.018e-07  1.609e-10 
 1.400e-10  2.294e-04  8.335e-05  2.643e-03  5.844e-07  1.772e-10 
 1.500e-10  2.122e-04  9.454e-05  3.029e-03  5.685e-07  1.819e-10 
 1.600e-10  1.874e-04  1.063e-04  3.444e-03  5.562e-07  1.698e-10 
 1.700e-10  1.549e-04  1.185e-04  3.889e-03  5.485e-07  1.410e-10 
 1.800e-10  1.159e-04  1.314e-04  4.367e-03  5.449e-07  1.029e-10 
 1.900e-10  7.289e-05  1.447e-04  4.878e-03  5.444e-07  7.231e-11 
 2.000e-10  3.558e-05  1.587e-04  5.426e-03  5.449e-07  6.933e-11 
 2.100e-10  4.608e-05  1.734e-04  6.013e-03  5.449e-07  9.192e-11 
 2.200e-10  8.741e-05  1.889e-04  6.642e-03  5.463e-07  1.331e-10 
 2.300e-10  1.285e-04  2.051e-04  7.314e-03  5.528e-07  1.919e-10 
 2.400e-10  1.636e-04  2.221e-04  8.033e-03  5.686e-07  2.552e-10 
 2.500e-10  1.907e-04  2.397e-04  8.802e-03  5.952e-07  3.045e-10 
 2.600e-10  2.094e-04  2.578e-04  9.623e-03  6.303e-07  3.277e-10 
 2.700e-10  2.205e-04  2.763e-04  1.050e-02  6.689e-07  3.255e-10 
 2.800e-10  2.254e-04  2.951e-04  1.143e-02  7.060e-07  3.066e-10 
 2.900e-10  2.256e-04  3.141e-04  1.242e-02  7.377e-07  2.807e-10 
 3.000e-10  2.227e-04  3.331e-04  1.346e-02  7.624e-07  2.552e-10 
 3.100e-10  2.180e-04  3.522e-04  1.457e-02  7.800e-07  2.339e-10 
 3.200e-10  2.127e-04  3.711e-04  1.573e-02  7.921e-07  2.177e-10 
 3.300e-10  2.075e-04  3.898e-04  1.695e-02  8.002e-07  2.056e-10 
 3.400e-10  2.031e-04  4.083e-04  1.823e-02  8.055e-07  1.963e-10 
 3.500e-10  1.997e-04  4.263e-04  1.956e-02  8.086e-07  1.884e-10 
 3.600e-10  1.978e-04  4.440e-04  2.094e-02  8.102e-07  1.809e-10 
 3.700e-10  1.974e-04  4.612e-04  2.238e-02  8.107e-07  1.734e-10 
 3.800e-10  1.984e-04  4.780e-04  2.387e-02  8.109e-07  1.658e-10 
 3.900e-10  2.009e-04  4.942e-04  2.541e-02  8.113e-07  1.586e-10 
 4.000e-10  2.044e-04  5.098e-04  2.700e-02  8.130e-07  1.524e-10 
 4.100e-10  2.087e-04  5.232e-04  2.863e-02  8.141e-07  2.170e-09 
 4.200e-10  2.134e-04  5.265e-04  3.027e-02  8.123e-07  1.165e-09 
 4.300e-10  2.186e-04  5.273e-04  3.191e-02  8.122e-07  4.656e-10 
 4.400e-10  2.242e-04  5.277e-04  3.356e-02  8.122e-07  3.143e-10 
 4.500e-10  2.302e-04  5.280e-04  3.520e-02  8.122e-07  3.144e-10 
 4.600e-10  2.365e-04  5.284e-04  3.685e-02  8.122e-07  3.145e-10 
 4.700e-10  2.431e-04  5.287e-04  3.849e-02  8.122e-07  3.146e-10 
 4.800e-10  2.500e-04  5.290e-04  4.014e-02  8.122e-07  3.147e-10 
 4.900e-10  2.572e-04  5.294e-04  4.178e-02  8.122e-07  3.148e-10 
 5.000e-10  2.646e-04  5.297e-04  4.343e-02  8.122e-07  3.149e-10 
                                                            
