      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.884e-05  1.142e-08  1.511e-08  4.298e-10  5.191e-16 
 1.000e-11  1.005e-04  2.259e-07  1.466e-05  4.444e-08  2.320e-13 
 2.000e-11  1.061e-04  7.648e-07  5.109e-05  8.990e-08  2.007e-12 
 3.000e-11  1.156e-04  1.882e-06  1.092e-04  1.282e-07  6.495e-12 
 4.000e-11  1.286e-04  4.164e-06  1.886e-04  1.528e-07  1.319e-11 
 5.000e-11  1.442e-04  8.310e-06  2.888e-04  1.889e-07  2.148e-11 
 6.000e-11  1.609e-04  1.431e-05  4.093e-04  2.732e-07  3.353e-11 
 7.000e-11  1.770e-04  2.179e-05  5.499e-04  3.820e-07  5.243e-11 
 8.000e-11  1.911e-04  3.049e-05  7.103e-04  4.885e-07  8.234e-11 
 9.000e-11  2.020e-04  4.026e-05  8.906e-04  5.759e-07  1.215e-10 
 1.000e-10  2.088e-04  5.105e-05  1.091e-03  6.260e-07  1.638e-10 
 1.100e-10  2.104e-04  6.280e-05  1.311e-03  6.456e-07  2.059e-10 
 1.200e-10  2.061e-04  7.541e-05  1.552e-03  6.429e-07  2.412e-10 
 1.300e-10  1.953e-04  8.881e-05  1.814e-03  6.280e-07  2.641e-10 
 1.400e-10  1.775e-04  1.029e-04  2.098e-03  6.101e-07  2.669e-10 
 1.500e-10  1.524e-04  1.177e-04  2.405e-03  5.949e-07  2.454e-10 
 1.600e-10  1.208e-04  1.331e-04  2.737e-03  5.857e-07  2.029e-10 
 1.700e-10  8.441e-05  1.491e-04  3.095e-03  5.828e-07  1.547e-10 
 1.800e-10  4.917e-05  1.659e-04  3.481e-03  5.836e-07  1.346e-10 
 1.900e-10  3.945e-05  1.836e-04  3.897e-03  5.843e-07  1.675e-10 
 2.000e-10  6.879e-05  2.022e-04  4.344e-03  5.841e-07  2.439e-10 
 2.100e-10  1.051e-04  2.220e-04  4.826e-03  5.856e-07  3.534e-10 
 2.200e-10  1.369e-04  2.430e-04  5.346e-03  5.922e-07  4.838e-10 
 2.300e-10  1.604e-04  2.652e-04  5.905e-03  6.057e-07  6.109e-10 
 2.400e-10  1.738e-04  2.887e-04  6.507e-03  6.261e-07  7.094e-10 
 2.500e-10  1.767e-04  3.134e-04  7.154e-03  6.519e-07  7.647e-10 
 2.600e-10  1.701e-04  3.393e-04  7.850e-03  6.799e-07  7.782e-10 
 2.700e-10  1.556e-04  3.664e-04  8.597e-03  7.052e-07  7.661e-10 
 2.800e-10  1.354e-04  3.945e-04  9.397e-03  7.233e-07  7.496e-10 
 2.900e-10  1.122e-04  4.236e-04  1.025e-02  7.327e-07  7.431e-10 
 3.000e-10  8.939e-05  4.534e-04  1.116e-02  7.346e-07  7.493e-10 
 3.100e-10  7.127e-05  4.837e-04  1.213e-02  7.313e-07  7.621e-10 
 3.200e-10  6.397e-05  5.143e-04  1.316e-02  7.260e-07  7.739e-10 
 3.300e-10  7.098e-05  5.450e-04  1.425e-02  7.219e-07  7.788e-10 
 3.400e-10  8.855e-05  5.755e-04  1.539e-02  7.213e-07  7.746e-10 
 3.500e-10  1.115e-04  6.057e-04  1.659e-02  7.251e-07  7.611e-10 
 3.600e-10  1.370e-04  6.355e-04  1.785e-02  7.332e-07  7.388e-10 
 3.700e-10  1.640e-04  6.646e-04  1.917e-02  7.445e-07  7.086e-10 
 3.800e-10  1.922e-04  6.931e-04  2.054e-02  7.569e-07  6.717e-10 
 3.900e-10  2.214e-04  7.209e-04  2.196e-02  7.679e-07  6.300e-10 
 4.000e-10  2.517e-04  7.478e-04  2.343e-02  7.739e-07  5.876e-10 
 4.100e-10  2.831e-04  7.740e-04  2.496e-02  7.698e-07  5.514e-10 
 4.200e-10  3.154e-04  7.994e-04  2.653e-02  7.489e-07  5.314e-10 
 4.300e-10  3.483e-04  8.232e-04  2.815e-02  7.083e-07  3.550e-09 
 4.400e-10  3.816e-04  8.352e-04  2.979e-02  6.914e-07  4.668e-09 
 4.500e-10  4.149e-04  8.388e-04  3.144e-02  6.911e-07  2.449e-09 
 4.600e-10  4.483e-04  8.402e-04  3.308e-02  6.911e-07  9.780e-10 
 4.700e-10  4.817e-04  8.411e-04  3.473e-02  6.911e-07  4.800e-10 
 4.800e-10  5.151e-04  8.419e-04  3.637e-02  6.912e-07  4.681e-10 
 4.900e-10  5.485e-04  8.426e-04  3.802e-02  6.912e-07  4.685e-10 
 5.000e-10  5.820e-04  8.434e-04  3.966e-02  6.912e-07  4.688e-10 
                                                            
