      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.877e-05  1.141e-08  1.510e-08  4.314e-10  5.272e-16 
 1.000e-11  1.005e-04  2.280e-07  1.466e-05  4.460e-08  2.347e-13 
 2.000e-11  1.061e-04  7.765e-07  5.110e-05  9.035e-08  2.087e-12 
 3.000e-11  1.156e-04  1.906e-06  1.092e-04  1.286e-07  6.767e-12 
 4.000e-11  1.286e-04  4.189e-06  1.886e-04  1.531e-07  1.348e-11 
 5.000e-11  1.442e-04  8.324e-06  2.888e-04  1.890e-07  2.182e-11 
 6.000e-11  1.609e-04  1.431e-05  4.093e-04  2.730e-07  3.425e-11 
 7.000e-11  1.770e-04  2.180e-05  5.499e-04  3.817e-07  5.385e-11 
 8.000e-11  1.911e-04  3.048e-05  7.104e-04  4.881e-07  8.431e-11 
 9.000e-11  2.020e-04  4.025e-05  8.906e-04  5.754e-07  1.236e-10 
 1.000e-10  2.087e-04  5.104e-05  1.091e-03  6.255e-07  1.658e-10 
 1.100e-10  2.103e-04  6.278e-05  1.311e-03  6.452e-07  2.077e-10 
 1.200e-10  2.061e-04  7.538e-05  1.552e-03  6.425e-07  2.428e-10 
 1.300e-10  1.953e-04  8.877e-05  1.814e-03  6.276e-07  2.655e-10 
 1.400e-10  1.774e-04  1.029e-04  2.098e-03  6.097e-07  2.683e-10 
 1.500e-10  1.524e-04  1.176e-04  2.405e-03  5.946e-07  2.468e-10 
 1.600e-10  1.207e-04  1.330e-04  2.737e-03  5.854e-07  2.046e-10 
 1.700e-10  8.436e-05  1.491e-04  3.095e-03  5.825e-07  1.573e-10 
 1.800e-10  4.913e-05  1.659e-04  3.481e-03  5.832e-07  1.390e-10 
 1.900e-10  3.945e-05  1.835e-04  3.897e-03  5.840e-07  1.733e-10 
 2.000e-10  6.880e-05  2.021e-04  4.344e-03  5.838e-07  2.502e-10 
 2.100e-10  1.051e-04  2.219e-04  4.827e-03  5.853e-07  3.601e-10 
 2.200e-10  1.369e-04  2.429e-04  5.346e-03  5.919e-07  4.905e-10 
 2.300e-10  1.604e-04  2.651e-04  5.905e-03  6.054e-07  6.175e-10 
 2.400e-10  1.737e-04  2.885e-04  6.507e-03  6.257e-07  7.161e-10 
 2.500e-10  1.767e-04  3.132e-04  7.154e-03  6.515e-07  7.717e-10 
 2.600e-10  1.701e-04  3.391e-04  7.850e-03  6.794e-07  7.860e-10 
 2.700e-10  1.555e-04  3.662e-04  8.597e-03  7.046e-07  7.755e-10 
 2.800e-10  1.353e-04  3.943e-04  9.397e-03  7.226e-07  7.612e-10 
 2.900e-10  1.122e-04  4.234e-04  1.025e-02  7.320e-07  7.572e-10 
 3.000e-10  8.932e-05  4.532e-04  1.116e-02  7.339e-07  7.658e-10 
 3.100e-10  7.121e-05  4.835e-04  1.213e-02  7.306e-07  7.805e-10 
 3.200e-10  6.391e-05  5.141e-04  1.316e-02  7.253e-07  7.935e-10 
 3.300e-10  7.095e-05  5.447e-04  1.425e-02  7.212e-07  7.990e-10 
 3.400e-10  8.854e-05  5.752e-04  1.539e-02  7.207e-07  7.949e-10 
 3.500e-10  1.115e-04  6.054e-04  1.659e-02  7.246e-07  7.810e-10 
 3.600e-10  1.370e-04  6.351e-04  1.785e-02  7.327e-07  7.581e-10 
 3.700e-10  1.641e-04  6.643e-04  1.917e-02  7.439e-07  7.272e-10 
 3.800e-10  1.922e-04  6.928e-04  2.054e-02  7.563e-07  6.895e-10 
 3.900e-10  2.215e-04  7.205e-04  2.196e-02  7.673e-07  6.470e-10 
 4.000e-10  2.517e-04  7.475e-04  2.343e-02  7.732e-07  6.037e-10 
 4.100e-10  2.831e-04  7.736e-04  2.496e-02  7.690e-07  5.663e-10 
 4.200e-10  3.154e-04  7.990e-04  2.653e-02  7.481e-07  5.450e-10 
 4.300e-10  3.484e-04  8.228e-04  2.815e-02  7.075e-07  3.552e-09 
 4.400e-10  3.816e-04  8.348e-04  2.979e-02  6.906e-07  4.677e-09 
 4.500e-10  4.150e-04  8.384e-04  3.144e-02  6.903e-07  2.502e-09 
 4.600e-10  4.483e-04  8.399e-04  3.308e-02  6.903e-07  1.128e-09 
