      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  2.383e-04  1.124e-08  1.499e-08  3.641e-09  5.484e-16 
 1.000e-11  2.380e-04  2.824e-06  9.106e-06  7.083e-07  2.001e-11 
 2.000e-11  2.360e-04  1.136e-05  2.843e-05  1.300e-06  2.128e-10 
 3.000e-11  2.348e-04  2.558e-05  5.669e-05  1.656e-06  5.129e-10 
 4.000e-11  2.364e-04  4.443e-05  9.318e-05  1.688e-06  7.246e-10 
 5.000e-11  2.407e-04  6.605e-05  1.384e-04  1.435e-06  9.437e-10 
 6.000e-11  2.463e-04  8.945e-05  1.934e-04  1.133e-06  1.157e-09 
 7.000e-11  2.508e-04  1.146e-04  2.588e-04  9.867e-07  1.353e-09 
 8.000e-11  2.529e-04  1.418e-04  3.349e-04  1.033e-06  1.525e-09 
 9.000e-11  2.520e-04  1.713e-04  4.218e-04  1.151e-06  1.688e-09 
 1.000e-10  2.477e-04  2.031e-04  5.197e-04  1.231e-06  1.838e-09 
 1.100e-10  2.400e-04  2.370e-04  6.292e-04  1.252e-06  1.976e-09 
 1.200e-10  2.286e-04  2.728e-04  7.509e-04  1.243e-06  2.108e-09 
 1.300e-10  2.133e-04  3.103e-04  8.858e-04  1.254e-06  2.232e-09 
 1.400e-10  1.941e-04  3.494e-04  1.035e-03  1.288e-06  2.363e-09 
 1.500e-10  1.714e-04  3.902e-04  1.198e-03  1.340e-06  2.540e-09 
 1.600e-10  1.469e-04  4.328e-04  1.377e-03  1.390e-06  2.800e-09 
 1.700e-10  1.232e-04  4.774e-04  1.574e-03  1.422e-06  3.204e-09 
 1.800e-10  1.049e-04  5.242e-04  1.787e-03  1.426e-06  3.800e-09 
 1.900e-10  9.787e-05  5.737e-04  2.020e-03  1.406e-06  4.631e-09 
 2.000e-10  1.038e-04  6.261e-04  2.272e-03  1.371e-06  5.699e-09 
 2.100e-10  1.177e-04  6.818e-04  2.546e-03  1.339e-06  6.946e-09 
 2.200e-10  1.321e-04  7.415e-04  2.843e-03  1.328e-06  8.268e-09 
 2.300e-10  1.422e-04  8.057e-04  3.164e-03  1.347e-06  9.596e-09 
 2.400e-10  1.454e-04  8.751e-04  3.511e-03  1.384e-06  1.098e-08 
 2.500e-10  1.415e-04  9.506e-04  3.888e-03  1.415e-06  1.256e-08 
 2.600e-10  1.320e-04  1.033e-03  4.297e-03  1.423e-06  1.443e-08 
 2.700e-10  1.192e-04  1.122e-03  4.739e-03  1.411e-06  1.661e-08 
 2.800e-10  1.068e-04  1.218e-03  5.218e-03  1.396e-06  1.912e-08 
 2.900e-10  9.921e-05  1.321e-03  5.737e-03  1.397e-06  2.196e-08 
 3.000e-10  1.005e-04  1.431e-03  6.299e-03  1.420e-06  2.500e-08 
 3.100e-10  1.114e-04  1.549e-03  6.906e-03  1.457e-06  2.803e-08 
 3.200e-10  1.290e-04  1.672e-03  7.561e-03  1.493e-06  3.084e-08 
 3.300e-10  1.497e-04  1.802e-03  8.267e-03  1.510e-06  3.325e-08 
 3.400e-10  1.708e-04  1.937e-03  9.025e-03  1.496e-06  3.517e-08 
 3.500e-10  1.907e-04  2.076e-03  9.839e-03  1.448e-06  3.657e-08 
 3.600e-10  2.087e-04  2.218e-03  1.071e-02  1.375e-06  3.748e-08 
 3.700e-10  2.246e-04  2.362e-03  1.163e-02  1.296e-06  3.794e-08 
 3.800e-10  2.386e-04  2.507e-03  1.262e-02  1.234e-06  3.803e-08 
 3.900e-10  2.512e-04  2.653e-03  1.366e-02  1.204e-06  3.782e-08 
 4.000e-10  2.631e-04  2.798e-03  1.476e-02  1.206e-06  3.734e-08 
 4.100e-10  2.749e-04  2.942e-03  1.592e-02  1.232e-06  3.664e-08 
 4.200e-10  2.871e-04  3.084e-03  1.714e-02  1.267e-06  3.573e-08 
 4.300e-10  3.002e-04  3.223e-03  1.841e-02  1.300e-06  3.461e-08 
 4.400e-10  3.145e-04  3.359e-03  1.974e-02  1.320e-06  3.330e-08 
 4.500e-10  3.302e-04  3.492e-03  2.112e-02  1.321e-06  3.183e-08 
 4.600e-10  3.472e-04  3.621e-03  2.256e-02  1.295e-06  2.640e-08 
 4.700e-10  3.652e-04  3.741e-03  2.404e-02  1.251e-06  3.918e-08 
 4.800e-10  3.840e-04  3.845e-03  2.556e-02  1.209e-06  7.857e-08 
 4.900e-10  4.034e-04  3.932e-03  2.712e-02  1.172e-06  9.922e-08 
 5.000e-10  4.233e-04  3.997e-03  2.871e-02  1.141e-06  9.886e-08 
                                                            
