      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.877e-05  1.112e-08  1.488e-08  6.422e-11  5.168e-16 
 1.000e-11  9.875e-05  1.043e-07  5.409e-06  1.216e-08  9.305e-15 
 2.000e-11  9.903e-05  2.704e-07  1.430e-05  2.352e-08  4.924e-14 
 3.000e-11  9.950e-05  5.176e-07  2.705e-05  3.352e-08  1.261e-13 
 4.000e-11  1.002e-04  8.317e-07  4.415e-05  4.109e-08  2.131e-13 
 5.000e-11  1.010e-04  1.190e-06  6.630e-05  4.512e-08  2.497e-13 
 6.000e-11  1.020e-04  1.563e-06  9.434e-05  4.571e-08  1.982e-13 
 7.000e-11  1.032e-04  1.929e-06  1.286e-04  4.533e-08  1.411e-13 
 8.000e-11  1.045e-04  2.302e-06  1.690e-04  4.421e-08  1.428e-13 
 9.000e-11  1.058e-04  2.697e-06  2.155e-04  4.301e-08  2.037e-13 
 1.000e-10  1.072e-04  3.123e-06  2.680e-04  4.203e-08  2.640e-13 
 1.100e-10  1.085e-04  3.577e-06  3.266e-04  4.136e-08  2.997e-13 
 1.200e-10  1.099e-04  4.053e-06  3.912e-04  4.098e-08  3.074e-13 
 1.300e-10  1.113e-04  4.545e-06  4.618e-04  4.079e-08  2.932e-13 
 1.400e-10  1.127e-04  5.045e-06  5.384e-04  4.071e-08  2.668e-13 
 1.500e-10  1.142e-04  5.548e-06  6.211e-04  4.071e-08  2.380e-13 
 1.600e-10  1.156e-04  6.049e-06  7.097e-04  4.072e-08  2.156e-13 
 1.700e-10  1.171e-04  6.547e-06  8.042e-04  4.075e-08  2.062e-13 
 1.800e-10  1.186e-04  7.039e-06  9.047e-04  4.078e-08  2.126e-13 
 1.900e-10  1.202e-04  7.523e-06  1.011e-03  4.080e-08  2.326e-13 
 2.000e-10  1.218e-04  7.999e-06  1.123e-03  4.082e-08  2.617e-13 
 2.100e-10  1.235e-04  8.465e-06  1.241e-03  4.084e-08  2.955e-13 
 2.200e-10  1.253e-04  8.921e-06  1.364e-03  4.086e-08  3.312e-13 
 2.300e-10  1.271e-04  9.366e-06  1.493e-03  4.087e-08  3.677e-13 
 2.400e-10  1.290e-04  9.800e-06  1.626e-03  4.088e-08  4.049e-13 
 2.500e-10  1.310e-04  1.022e-05  1.766e-03  4.088e-08  4.447e-13 
 2.600e-10  1.331e-04  1.063e-05  1.910e-03  4.085e-08  4.911e-13 
