      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.877e-05  1.112e-08  1.488e-08  6.420e-11  5.168e-16 
 1.000e-11  9.875e-05  1.059e-07  5.409e-06  1.213e-08  9.441e-15 
 2.000e-11  9.903e-05  2.758e-07  1.430e-05  2.345e-08  5.044e-14 
 3.000e-11  9.951e-05  5.280e-07  2.705e-05  3.342e-08  1.295e-13 
 4.000e-11  1.002e-04  8.488e-07  4.415e-05  4.095e-08  2.190e-13 
 5.000e-11  1.011e-04  1.216e-06  6.630e-05  4.494e-08  2.565e-13 
 6.000e-11  1.021e-04  1.602e-06  9.434e-05  4.549e-08  2.029e-13 
 7.000e-11  1.033e-04  1.982e-06  1.286e-04  4.506e-08  1.435e-13 
 8.000e-11  1.045e-04  2.373e-06  1.690e-04  4.388e-08  1.461e-13 
 9.000e-11  1.059e-04  2.786e-06  2.155e-04  4.264e-08  2.101e-13 
 1.000e-10  1.073e-04  3.230e-06  2.680e-04  4.160e-08  2.726e-13 
 1.100e-10  1.087e-04  3.703e-06  3.266e-04  4.089e-08  3.095e-13 
 1.200e-10  1.101e-04  4.200e-06  3.912e-04  4.045e-08  3.177e-13 
 1.300e-10  1.115e-04  4.713e-06  4.618e-04  4.021e-08  3.042e-13 
 1.400e-10  1.130e-04  5.236e-06  5.384e-04  4.008e-08  2.801e-13 
 1.500e-10  1.144e-04  5.763e-06  6.211e-04  4.002e-08  2.568e-13 
 1.600e-10  1.159e-04  6.291e-06  7.097e-04  3.999e-08  2.445e-13 
 1.700e-10  1.174e-04  6.817e-06  8.042e-04  3.996e-08  2.491e-13 
 1.800e-10  1.190e-04  7.337e-06  9.046e-04  3.993e-08  2.711e-13 
 1.900e-10  1.206e-04  7.852e-06  1.011e-03  3.989e-08  3.065e-13 
 2.000e-10  1.223e-04  8.360e-06  1.123e-03  3.986e-08  3.502e-13 
 2.100e-10  1.240e-04  8.861e-06  1.241e-03  3.982e-08  3.982e-13 
 2.200e-10  1.258e-04  9.352e-06  1.364e-03  3.978e-08  4.480e-13 
 2.300e-10  1.277e-04  9.834e-06  1.493e-03  3.974e-08  4.987e-13 
 2.400e-10  1.296e-04  1.030e-05  1.626e-03  3.969e-08  5.504e-13 
 2.500e-10  1.317e-04  1.076e-05  1.766e-03  3.962e-08  6.047e-13 
 2.600e-10  1.338e-04  1.121e-05  1.910e-03  3.954e-08  6.656e-13 
 2.700e-10  1.360e-04  1.164e-05  2.059e-03  3.941e-08  7.408e-13 
 2.800e-10  1.382e-04  1.206e-05  2.212e-03  3.920e-08  8.447e-13 
 2.900e-10  1.406e-04  1.245e-05  2.370e-03  3.886e-08  1.003e-12 
 3.000e-10  1.431e-04  1.282e-05  2.532e-03  3.830e-08  1.263e-12 
 3.100e-10  1.457e-04  1.314e-05  2.697e-03  3.742e-08  1.699e-12 
 3.200e-10  1.485e-04  1.341e-05  2.867e-03  3.613e-08  2.424e-12 
 3.300e-10  1.515e-04  1.358e-05  3.039e-03  3.464e-08  3.562e-12 
 3.400e-10  1.549e-04  1.362e-05  3.213e-03  3.425e-08  5.175e-12 
 3.500e-10  1.587e-04  1.348e-05  3.388e-03  3.888e-08  6.861e-12 
 3.600e-10  1.630e-04  1.325e-05  3.564e-03  4.975e-08  5.924e-12 
 3.700e-10  1.678e-04  1.315e-05  3.740e-03  5.353e-08  2.442e-12 
 3.800e-10  1.727e-04  1.323e-05  3.914e-03  5.419e-08  1.743e-12 
 3.900e-10  1.775e-04  1.356e-05  4.087e-03  5.545e-08  5.627e-12 
 4.000e-10  1.819e-04  1.425e-05  4.260e-03  5.857e-08  1.006e-11 
 4.100e-10  1.857e-04  1.550e-05  4.433e-03  6.410e-08  1.522e-11 
 4.200e-10  1.884e-04  1.756e-05  4.608e-03  7.227e-08  2.130e-11 
 4.300e-10  1.899e-04  2.072e-05  4.788e-03  8.298e-08  2.839e-11 
 4.400e-10  1.896e-04  2.530e-05  4.974e-03  9.543e-08  3.632e-11 
 4.500e-10  1.873e-04  3.162e-05  5.173e-03  1.078e-07  4.458e-11 
 4.600e-10  1.824e-04  4.001e-05  5.388e-03  1.169e-07  5.253e-11 
 4.700e-10  1.745e-04  5.072e-05  5.626e-03  1.189e-07  6.075e-11 
 4.800e-10  1.636e-04  6.392e-05  5.896e-03  1.114e-07  7.369e-11 
 4.900e-10  1.497e-04  7.961e-05  6.207e-03  9.551e-08  9.768e-11 
 5.000e-10  1.333e-04  9.766e-05  6.568e-03  7.590e-08  1.317e-10 
 5.100e-10  1.152e-04  1.178e-04  6.988e-03  5.854e-08  1.668e-10 
 5.200e-10  9.596e-05  1.395e-04  7.474e-03  4.696e-08  1.934e-10 
 5.300e-10  7.621e-05  1.624e-04  8.030e-03  4.103e-08  2.074e-10 
 5.400e-10  5.630e-05  1.859e-04  8.657e-03  3.861e-08  2.107e-10 
 5.500e-10  3.647e-05  2.096e-04  9.356e-03  3.773e-08  2.077e-10 
 5.600e-10  1.707e-05  2.331e-04  1.013e-02  3.735e-08  2.027e-10 
 5.700e-10  6.495e-06  2.562e-04  1.097e-02  3.727e-08  1.996e-10 
 5.800e-10  2.383e-05  2.789e-04  1.187e-02  3.728e-08  1.952e-10 
 5.900e-10  4.306e-05  3.011e-04  1.285e-02  3.732e-08  1.908e-10 
 6.000e-10  6.232e-05  3.228e-04  1.389e-02  3.742e-08  1.867e-10 
 6.100e-10  8.147e-05  3.439e-04  1.499e-02  3.758e-08  1.828e-10 
 6.200e-10  1.005e-04  3.644e-04  1.616e-02  3.779e-08  1.787e-10 
 6.300e-10  1.193e-04  3.844e-04  1.738e-02  3.802e-08  1.744e-10 
 6.400e-10  1.380e-04  4.038e-04  1.866e-02  3.824e-08  1.696e-10 
 6.500e-10  1.565e-04  4.227e-04  2.000e-02  3.840e-08  1.640e-10 
 6.600e-10  1.748e-04  4.410e-04  2.140e-02  3.840e-08  1.568e-10 
 6.700e-10  1.930e-04  4.587e-04  2.284e-02  3.784e-08  1.453e-10 
 6.800e-10  2.109e-04  4.757e-04  2.434e-02  3.535e-08  1.210e-10 
 6.900e-10  2.288e-04  4.919e-04  2.589e-02  2.499e-08  5.400e-11 
 7.000e-10  2.469e-04  5.067e-04  2.748e-02  2.166e-08  2.178e-10 
 7.100e-10  2.658e-04  5.184e-04  2.910e-02  1.020e-07  6.727e-10 
 7.200e-10  2.861e-04  5.251e-04  3.073e-02  1.116e-07  5.911e-10 
 7.300e-10  2.819e-04  3.875e-04  3.241e-02  3.393e-08  4.636e-11 
 7.400e-10  3.022e-04  3.883e-04  3.406e-02  5.544e-08  2.143e-11 
 7.500e-10  3.227e-04  3.889e-04  3.570e-02  6.167e-08  2.127e-11 
 7.600e-10  3.432e-04  3.895e-04  3.734e-02  6.364e-08  2.184e-11 
 7.700e-10  3.637e-04  3.900e-04  3.898e-02  6.437e-08  2.216e-11 
 7.800e-10  3.843e-04  3.906e-04  4.063e-02  6.467e-08  2.235e-11 
 7.900e-10  4.048e-04  3.911e-04  4.227e-02  6.480e-08  2.248e-11 
 8.000e-10  4.254e-04  3.917e-04  4.391e-02  6.485e-08  2.258e-11 
 8.100e-10  4.459e-04  3.922e-04  4.556e-02  6.487e-08  2.268e-11 
 8.200e-10  4.665e-04  3.927e-04  4.720e-02  6.488e-08  2.278e-11 
 8.300e-10  4.870e-04  3.933e-04  4.884e-02  6.497e-08  2.290e-11 
 8.400e-10  5.075e-04  3.938e-04  5.049e-02  6.519e-08  2.305e-11 
 8.500e-10  5.281e-04  3.944e-04  5.213e-02  6.548e-08  2.317e-11 
 8.600e-10  5.486e-04  3.949e-04  5.377e-02  6.531e-08  2.304e-11 
 8.700e-10  5.692e-04  3.954e-04  5.542e-02  6.496e-08  2.301e-11 
 8.800e-10  5.897e-04  3.960e-04  5.706e-02  6.492e-08  2.307e-11 
 8.900e-10  6.103e-04  3.965e-04  5.870e-02  6.491e-08  2.313e-11 
 9.000e-10  6.308e-04  3.971e-04  6.035e-02  6.490e-08  2.320e-11 
 9.100e-10  6.514e-04  3.976e-04  6.199e-02  6.489e-08  2.326e-11 
 9.200e-10  6.719e-04  3.982e-04  6.363e-02  6.488e-08  2.332e-11 
 9.300e-10  6.925e-04  3.987e-04  6.527e-02  6.488e-08  2.337e-11 
 9.400e-10  7.130e-04  3.993e-04  6.692e-02  6.487e-08  2.343e-11 
 9.500e-10  7.336e-04  3.998e-04  6.856e-02  6.486e-08  2.349e-11 
 9.600e-10  7.541e-04  4.003e-04  7.020e-02  6.485e-08  2.354e-11 
 9.700e-10  7.746e-04  4.009e-04  7.185e-02  6.484e-08  2.359e-11 
 9.800e-10  7.952e-04  4.014e-04  7.349e-02  6.483e-08  2.365e-11 
 9.900e-10  8.157e-04  4.020e-04  7.513e-02  6.482e-08  2.370e-11 
 1.000e-09  8.363e-04  4.025e-04  7.678e-02  6.482e-08  2.375e-11 
                                                            
