      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.877e-05  1.151e-08  1.518e-08  4.972e-10  5.186e-16 
 1.000e-11  1.021e-04  2.674e-06  1.755e-05  3.174e-08  3.104e-12 
 2.000e-11  1.122e-04  9.893e-06  6.267e-05  5.392e-08  2.036e-11 
 3.000e-11  1.286e-04  2.056e-05  1.351e-04  7.987e-08  4.967e-11 
 4.000e-11  1.508e-04  3.374e-05  2.345e-04  1.629e-07  8.007e-11 
 5.000e-11  1.772e-04  4.876e-05  3.600e-04  3.360e-07  1.160e-10 
 6.000e-11  2.057e-04  6.510e-05  5.108e-04  5.507e-07  1.610e-10 
 7.000e-11  2.339e-04  8.238e-05  6.866e-04  7.437e-07  2.169e-10 
 8.000e-11  2.599e-04  1.004e-04  8.869e-04  8.873e-07  2.811e-10 
 9.000e-11  2.824e-04  1.192e-04  1.112e-03  9.657e-07  3.437e-10 
 1.000e-10  3.004e-04  1.386e-04  1.362e-03  9.951e-07  4.032e-10 
 1.100e-10  3.132e-04  1.586e-04  1.637e-03  9.939e-07  4.633e-10 
 1.200e-10  3.199e-04  1.794e-04  1.938e-03  9.777e-07  5.255e-10 
 1.300e-10  3.193e-04  2.009e-04  2.264e-03  9.599e-07  5.875e-10 
 1.400e-10  3.103e-04  2.232e-04  2.617e-03  9.514e-07  6.391e-10 
 1.500e-10  2.917e-04  2.466e-04  2.997e-03  9.559e-07  6.628e-10 
 1.600e-10  2.626e-04  2.711e-04  3.406e-03  9.680e-07  6.466e-10 
 1.700e-10  2.230e-04  2.970e-04  3.845e-03  9.801e-07  5.989e-10 
 1.800e-10  1.739e-04  3.242e-04  4.315e-03  9.888e-07  5.505e-10 
 1.900e-10  1.181e-04  3.531e-04  4.820e-03  9.928e-07  5.363e-10 
 2.000e-10  6.328e-05  3.838e-04  5.360e-03  9.910e-07  5.754e-10 
 2.100e-10  4.803e-05  4.164e-04  5.939e-03  9.873e-07  6.705e-10 
 2.200e-10  9.523e-05  4.512e-04  6.559e-03  9.929e-07  7.777e-10 
 2.300e-10  1.510e-04  4.880e-04  7.223e-03  1.003e-06  9.596e-10 
 2.400e-10  2.012e-04  5.268e-04  7.933e-03  1.011e-06  1.165e-09 
 2.500e-10  2.420e-04  5.674e-04  8.693e-03  1.019e-06  1.329e-09 
 2.600e-10  2.723e-04  6.096e-04  9.504e-03  1.030e-06  1.419e-09 
 2.700e-10  2.925e-04  6.530e-04  1.037e-02  1.048e-06  1.443e-09 
 2.800e-10  3.041e-04  6.973e-04  1.129e-02  1.077e-06  1.425e-09 
 2.900e-10  3.091e-04  7.421e-04  1.227e-02  1.115e-06  1.387e-09 
 3.000e-10  3.095e-04  7.872e-04  1.331e-02  1.154e-06  1.344e-09 
 3.100e-10  3.070e-04  8.321e-04  1.440e-02  1.190e-06  1.300e-09 
 3.200e-10  3.031e-04  8.768e-04  1.556e-02  1.219e-06  1.257e-09 
 3.300e-10  2.989e-04  9.209e-04  1.677e-02  1.241e-06  1.214e-09 
 3.400e-10  2.953e-04  9.643e-04  1.803e-02  1.257e-06  1.168e-09 
 3.500e-10  2.928e-04  1.007e-03  1.936e-02  1.266e-06  1.119e-09 
 3.600e-10  2.919e-04  1.048e-03  2.073e-02  1.270e-06  1.066e-09 
 3.700e-10  2.926e-04  1.089e-03  2.216e-02  1.270e-06  1.011e-09 
 3.800e-10  2.950e-04  1.128e-03  2.364e-02  1.264e-06  9.568e-10 
 3.900e-10  2.990e-04  1.166e-03  2.517e-02  1.255e-06  9.049e-10 
 4.000e-10  3.043e-04  1.201e-03  2.675e-02  1.244e-06  6.822e-09 
 4.100e-10  3.104e-04  1.224e-03  2.837e-02  1.238e-06  1.081e-08 
 4.200e-10  3.169e-04  1.231e-03  3.001e-02  1.236e-06  3.313e-09 
 4.300e-10  3.238e-04  1.232e-03  3.166e-02  1.235e-06  1.273e-09 
 4.400e-10  3.309e-04  1.234e-03  3.330e-02  1.234e-06  7.659e-10 
 4.500e-10  3.384e-04  1.235e-03  3.495e-02  1.234e-06  7.741e-10 
 4.600e-10  3.462e-04  1.237e-03  3.659e-02  1.233e-06  7.824e-10 
 4.700e-10  3.542e-04  1.238e-03  3.824e-02  1.232e-06  7.907e-10 
 4.800e-10  3.624e-04  1.240e-03  3.988e-02  1.231e-06  7.991e-10 
 4.900e-10  3.709e-04  1.241e-03  4.153e-02  1.231e-06  8.075e-10 
 5.000e-10  3.796e-04  1.243e-03  4.317e-02  1.230e-06  8.159e-10 
 5.100e-10  3.885e-04  1.244e-03  4.482e-02  1.229e-06  8.243e-10 
 5.200e-10  3.976e-04  1.245e-03  4.646e-02  1.228e-06  8.328e-10 
 5.300e-10  4.069e-04  1.247e-03  4.811e-02  1.228e-06  8.412e-10 
 5.400e-10  4.163e-04  1.249e-03  4.975e-02  1.227e-06  8.496e-10 
 5.500e-10  4.258e-04  1.250e-03  5.140e-02  1.226e-06  8.579e-10 
 5.600e-10  4.356e-04  1.252e-03  5.304e-02  1.225e-06  8.662e-10 
