      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  9.877e-05  1.150e-08  1.518e-08  4.895e-10  5.208e-16 
 1.000e-11  1.015e-04  2.441e-06  1.756e-05  3.410e-08  3.253e-12 
 2.000e-11  1.101e-04  9.468e-06  6.268e-05  6.699e-08  2.405e-11 
 3.000e-11  1.244e-04  2.039e-05  1.352e-04  9.379e-08  6.437e-11 
 4.000e-11  1.439e-04  3.444e-05  2.345e-04  1.429e-07  1.120e-10 
 5.000e-11  1.674e-04  5.096e-05  3.602e-04  2.742e-07  1.657e-10 
 6.000e-11  1.930e-04  6.934e-05  5.115e-04  4.665e-07  2.308e-10 
 7.000e-11  2.187e-04  8.913e-05  6.882e-04  6.636e-07  3.077e-10 
 8.000e-11  2.431e-04  1.100e-04  8.899e-04  8.300e-07  3.933e-10 
 9.000e-11  2.648e-04  1.318e-04  1.117e-03  9.356e-07  4.806e-10 
 1.000e-10  2.827e-04  1.544e-04  1.368e-03  9.913e-07  5.659e-10 
 1.100e-10  2.957e-04  1.778e-04  1.645e-03  1.008e-06  6.507e-10 
 1.200e-10  3.030e-04  2.021e-04  1.948e-03  1.002e-06  7.366e-10 
 1.300e-10  3.033e-04  2.273e-04  2.277e-03  9.856e-07  8.228e-10 
 1.400e-10  2.956e-04  2.535e-04  2.633e-03  9.707e-07  9.043e-10 
 1.500e-10  2.787e-04  2.808e-04  3.016e-03  9.627e-07  9.742e-10 
 1.600e-10  2.518e-04  3.096e-04  3.428e-03  9.609e-07  1.035e-09 
 1.700e-10  2.149e-04  3.400e-04  3.871e-03  9.623e-07  1.109e-09 
 1.800e-10  1.690e-04  3.723e-04  4.346e-03  9.634e-07  1.253e-09 
 1.900e-10  1.171e-04  4.073e-04  4.854e-03  9.632e-07  1.576e-09 
 2.000e-10  6.654e-05  4.467e-04  5.400e-03  9.502e-07  2.931e-09 
 2.100e-10  4.836e-05  4.991e-04  5.988e-03  9.177e-07  9.508e-09 
 2.200e-10  8.438e-05  5.625e-04  6.616e-03  9.303e-07  1.233e-08 
 2.300e-10  1.331e-04  6.303e-04  7.286e-03  9.618e-07  1.367e-08 
 2.400e-10  1.786e-04  7.013e-04  8.001e-03  9.941e-07  1.459e-08 
 2.500e-10  2.168e-04  7.747e-04  8.767e-03  1.030e-06  1.533e-08 
 2.600e-10  2.460e-04  8.502e-04  9.584e-03  1.071e-06  1.596e-08 
 2.700e-10  2.666e-04  9.273e-04  1.046e-02  1.119e-06  1.647e-08 
 2.800e-10  2.799e-04  1.005e-03  1.138e-02  1.170e-06  1.690e-08 
 2.900e-10  2.875e-04  1.084e-03  1.237e-02  1.221e-06  1.725e-08 
 3.000e-10  2.911e-04  1.163e-03  1.341e-02  1.268e-06  1.754e-08 
 3.100e-10  2.925e-04  1.241e-03  1.451e-02  1.308e-06  1.777e-08 
 3.200e-10  2.928e-04  1.319e-03  1.567e-02  1.340e-06  1.796e-08 
 3.300e-10  2.932e-04  1.395e-03  1.688e-02  1.363e-06  1.812e-08 
 3.400e-10  2.944e-04  1.470e-03  1.815e-02  1.379e-06  1.824e-08 
 3.500e-10  2.970e-04  1.544e-03  1.948e-02  1.388e-06  1.833e-08 
 3.600e-10  3.012e-04  1.615e-03  2.086e-02  1.391e-06  1.839e-08 
 3.700e-10  3.073e-04  1.684e-03  2.229e-02  1.387e-06  1.773e-08 
 3.800e-10  3.151e-04  1.751e-03  2.378e-02  1.378e-06  1.605e-08 
 3.900e-10  3.245e-04  1.813e-03  2.531e-02  1.363e-06  1.631e-08 
 4.000e-10  3.352e-04  1.865e-03  2.689e-02  1.350e-06  2.352e-08 
 4.100e-10  3.466e-04  1.903e-03  2.850e-02  1.344e-06  2.650e-08 
 4.200e-10  3.585e-04  1.923e-03  3.014e-02  1.344e-06  2.210e-08 
 4.300e-10  3.708e-04  1.935e-03  3.178e-02  1.344e-06  1.706e-08 
